objId,flatsCount,buildingClass,wallMaterial,finishTypeCount,freePlan,parkingCount,objEnergyEfficiency
47667,150,Комфорт,Другое,1,Нет,0,B
47666,153,Комфорт,Другое,1,Нет,0,B
47665,421,Комфорт,Другое,1,Нет,0,B
47664,261,Комфорт,Другое,1,Нет,0,B
47562,414,Типовой,Монолит-кирпич,2,Нет,0,B
47499,264,Комфорт,Монолит-кирпич,1,Нет,0,B
47498,363,Комфорт,Монолит-кирпич,1,Нет,0,B
47497,429,Комфорт,Монолит-кирпич,1,Нет,257,B
47496,253,Комфорт,Монолит-кирпич,1,Нет,0,B
47478,597,Комфорт,Монолит-кирпич,2,Нет,0,B
47477,728,Комфорт,Монолит-кирпич,2,Нет,0,B
47089,902,Комфорт,Другое,1,Нет,0,A+
46911,231,Комфорт,Панель,1,Нет,0,B
46910,223,Комфорт,Панель,1,Нет,0,B
46901,311,Комфорт,Монолит-кирпич,1,Нет,0,B
46900,330,Комфорт,Монолит-кирпич,1,Нет,0,B
46866,1197,Комфорт,Монолит-кирпич,2,Нет,0,C
46657,532,Типовой,Другое,1,Нет,0,A
46527,135,Типовой,Другое,1,Нет,0,A
46526,110,Типовой,Другое,1,Нет,0,A++
46525,330,Типовой,Другое,1,Нет,0,A+
46433,415,Комфорт,Монолит-кирпич,0,Нет,0,B
46346,167,Типовой,Другое,1,Нет,0,A
46345,278,Типовой,Другое,1,Нет,0,A
46296,832,Типовой,Другое,1,Нет,0,B
45696,1565,Типовой,Монолит,1,Нет,211,A
45587,63,Комфорт,Другое,1,Нет,0,B
45509,208,Комфорт,Монолит-кирпич,1,Нет,17,D
45233,504,Комфорт,Монолит-кирпич,1,Нет,0,B
44644,1132,Комфорт,Монолит-кирпич,2,Нет,0,C
44626,524,Комфорт,Блоки,1,Нет,499,A
44625,262,Комфорт,Блоки,1,Нет,0,B
44624,522,Комфорт,Блоки,1,Нет,499,B
44623,973,Комфорт,Блоки,1,Нет,0,B
44043,80,Типовой,Монолит-кирпич,1,Нет,61,B
44022,96,Типовой,Монолит-кирпич,1,Нет,0,B
44021,223,Типовой,Монолит-кирпич,1,Нет,0,B
44020,223,Типовой,Монолит-кирпич,1,Нет,0,B
44019,107,Типовой,Монолит-кирпич,1,Нет,0,B
43937,239,Комфорт,Другое,0,Нет,0,B
43936,212,Комфорт,Другое,0,Нет,0,B
43774,300,Комфорт,Монолит-кирпич,1,Нет,0,B
43773,135,Комфорт,Монолит-кирпич,1,Нет,0,B
43772,334,Комфорт,Монолит-кирпич,1,Нет,0,B
43771,282,Комфорт,Монолит-кирпич,1,Нет,0,B
43426,396,Типовой,Панель,1,Есть,0,B
43353,667,Комфорт,Монолит-кирпич,0,Нет,0,B
43347,398,Комфорт,Панель,1,Нет,0,C
43345,397,Комфорт,Панель,1,Нет,0,C
43276,32,Комфорт,Монолит-кирпич,1,Нет,0,B
43123,1169,Комфорт,Другое,0,Нет,0,D
43121,817,Комфорт,Другое,0,Нет,0,D
42853,95,Типовой,Панель,1,Нет,0,B
